00,61.533.000-0,Sin Mutual - Empresa entrega aporte Accidentes del Trabajo al ISL
01,70.360.100-6,Asociación Chilena de Seguridad (ACHS)
02,70.285.100-9,Mutual de Seguridad CCHC
03,70.015.580-3,Instituto de Seguridad del Trabajo I.S.T.
