2024-01-01,0,13.5,0,0,0
2024-01-01,13.5,30,0.04,0.54,2.20
2024-01-01,30,50,0.08,1.74,4.52
2024-01-01,50,70,0.135,4.49,7.09
2024-01-01,70,90,0.23,11.14,10.62
2024-01-01,90,120,0.304,17.80,15.57
2024-01-01,120,310,0.35,23.32,27.48
2024-01-01,310,null,0.4,38.82,null
