00,0-0,No está en AFP,0,0,0,1970-01-01,1970-01-01
03,76240079-0,AFP CUPRUM S.A.,0.1144,0.1345,0.0201,2024-07-01,2030-12-01
05,98000100-8,A.F.P. HABITAT S.A.,0.1127,0.1328,0.0201,2024-07-01,2030-12-01
08,76265736-8,PROVIDA,0.1145,0.1346,0.0201,2024-07-01,2030-12-01
29,98001200-K,PLAN VITAL,0.1116,0.1317,0.0201,2024-07-01,2030-12-01
33,98000000-1,A.F.P.CAPITAL,0.1144,0.1345,0.0201,2024-07-01,2030-12-01
34,76762250-3,A.F.P. MODELO S.A.,0.1058,0.1259,0.0201,2024-07-01,2030-12-01
35,76960424-3,UNO,0.1049,0.125,0.0201,2024-07-01,2030-12-01
